Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
30/05/2026,09:00:00,SYSTEME U,2,2,0,701,351,"100,00%"
30/05/2026,09:15:00,SYSTEME U,7,3,4,2009,287,"42,86%"
30/05/2026,09:30:00,SYSTEME U,8,2,6,2384,298,"25,00%"
30/05/2026,09:45:00,SYSTEME U,6,3,3,1384,231,"50,00%"
30/05/2026,10:00:00,SYSTEME U,4,3,1,1099,275,"75,00%"
30/05/2026,10:15:00,SYSTEME U,6,5,1,866,144,"83,33%"
30/05/2026,10:30:00,SYSTEME U,7,6,1,2542,363,"85,71%"
30/05/2026,10:45:00,SYSTEME U,5,3,2,1029,206,"60,00%"
30/05/2026,11:00:00,SYSTEME U,5,5,0,1927,385,"100,00%"
30/05/2026,11:15:00,SYSTEME U,1,0,1,127,127,"0,00%"
30/05/2026,11:30:00,SYSTEME U,2,2,0,536,268,"100,00%"
30/05/2026,11:45:00,SYSTEME U,5,5,0,1684,337,"100,00%"
30/05/2026,12:00:00,SYSTEME U,1,1,0,42,42,"100,00%"
30/05/2026,12:15:00,SYSTEME U,4,2,2,883,221,"50,00%"
30/05/2026,12:30:00,SYSTEME U,3,2,1,667,222,"66,67%"
30/05/2026,12:45:00,SYSTEME U,2,2,0,614,307,"100,00%"
30/05/2026,13:00:00,SYSTEME U,2,2,0,376,188,"100,00%"
30/05/2026,13:15:00,SYSTEME U,1,1,0,324,324,"100,00%"
30/05/2026,13:30:00,SYSTEME U,2,2,0,403,202,"100,00%"
30/05/2026,14:00:00,SYSTEME U,5,5,0,1895,379,"100,00%"
30/05/2026,14:15:00,SYSTEME U,4,3,1,729,182,"75,00%"
30/05/2026,14:30:00,SYSTEME U,4,4,0,1115,279,"100,00%"
30/05/2026,14:45:00,SYSTEME U,3,3,0,472,157,"100,00%"
30/05/2026,15:00:00,SYSTEME U,1,1,0,12,12,"100,00%"
30/05/2026,15:15:00,SYSTEME U,5,5,0,1123,225,"100,00%"
30/05/2026,15:30:00,SYSTEME U,10,8,2,2309,231,"80,00%"
30/05/2026,15:45:00,SYSTEME U,3,3,0,947,316,"100,00%"
30/05/2026,16:00:00,SYSTEME U,3,2,1,1569,523,"66,67%"
30/05/2026,16:15:00,SYSTEME U,2,1,1,712,356,"50,00%"
30/05/2026,16:30:00,SYSTEME U,5,4,1,751,150,"80,00%"
30/05/2026,16:45:00,SYSTEME U,5,5,0,1441,288,"100,00%"
30/05/2026,17:00:00,SYSTEME U,4,3,1,1334,334,"75,00%"
30/05/2026,17:15:00,SYSTEME U,1,1,0,57,57,"100,00%"
30/05/2026,17:30:00,SYSTEME U,2,2,0,543,272,"100,00%"
30/05/2026,17:45:00,SYSTEME U,4,4,0,426,107,"100,00%"
Total pour 30/05/2026,,,134,105,29,35032,261,"78,36%"
