Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
20/06/2026,09:45:00,MRH BPCE,1,1,0,405,405,"100,00%"
20/06/2026,10:15:00,,1,1,0,461,461,"100,00%"
20/06/2026,10:45:00,SYSTEME U,2,2,0,160,80,"100,00%"
20/06/2026,12:30:00,,1,1,0,237,237,"100,00%"
20/06/2026,12:30:00,Pôle FA - MIDEA,1,1,0,16,16,"100,00%"
20/06/2026,15:00:00,SYSTEME U,1,1,0,54,54,"100,00%"
20/06/2026,15:30:00,Pôle FA - CHANGHONG,2,2,0,59,30,"100,00%"
20/06/2026,15:30:00,Pôle FA - LAMONA-HOUDAN,1,1,0,46,46,"100,00%"
20/06/2026,16:15:00,,1,1,0,533,533,"100,00%"
20/06/2026,16:45:00,,1,1,0,26,26,"100,00%"
20/06/2026,16:45:00,Pôle Fa - ELICA,1,1,0,3,3,"100,00%"
20/06/2026,17:15:00,,1,1,0,607,607,"100,00%"
20/06/2026,17:15:00,SFG SERVICES - PLANIFICATION,2,2,0,193,97,"100,00%"
Total pour 20/06/2026,,,16,16,0,2800,175,"100,00%"
